statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
1.0,1985.0,2.0,6227.0,4210.0,464428,1427743,0.0,0.2174378,1.9,11566,8.616667,20.6,25.866339,8.461768,0.67950445,Alabama,2425.0,16520,9787.0,9787.0,9787.0,1340.7891,294.871
1.0,1986.0,1.0,6657.0,4423.0,465387,1434773,0.0,0.2768753,1.9,12164,9.083334,23.8,25.827267,8.47358,0.85169166,Alabama,3038.0,21371,10374.0,10374.0,10374.0,1430.4224,308.27176
1.0,1987.0,1.0,7281.0,4803.0,467545,1442894,0.0,0.2113712,1.89,12826,7.65,21.3,25.777328,8.397089,1.9672137,Alabama,3456.0,23406,11107.0,11107.0,11107.0,1557.2832,332.87268
1.0,1988.0,1.0,7244.0,4605.0,468281,1445048,0.0,0.5597811,1.89,13698,6.9166665,19.3,25.734392,8.280076,2.7581367,Alabama,4701.0,25301,11162.0,11162.0,11162.0,1546.9344,318.67453
1.0,1989.0,1.0,8056.0,4998.0,468893,1445678,0.0,0.7218242,1.87,14865,6.616667,18.9,25.69405,8.088959,3.8459067,Alabama,5724.0,25519,11162.0,11662.0,11662.0,1718.0892,345.72015
1.0,1990.0,1.0,9282.0,5421.0,470480,1450374,0.0,0.5094361,1.92,15723,6.3333335,19.2,25.595875,7.8683624,4.370311,Alabama,5970.0,27686,13782.0,13782.0,13782.0,1972.8788,373.76566
1.0,1991.0,1.0,10119.0,5579.0,476751,1463514,0.0,0.8582038,1.76,16406,6.875,18.8,25.702427,7.5744863,5.9280496,Alabama,6858.0,30022,14604.0,14604.0,14604.0,2122.4917,381.20578
1.0,1992.0,1.0,10660.0,5658.0,485531,1478520,0.0,0.8854371,1.79,17327,6.883333,17.3,25.873686,7.4390697,6.812688,Alabama,6934.0,31188,14788.0,14788.0,14788.0,2195.5344,382.67996
1.0,1993.0,1.0,11450.0,6011.0,495028,1495463,0.0,0.2541232,1.86,17764,6.625,17.4,26.02926,7.4111776,7.356078,Alabama,6729.0,31460,15979.0,15979.0,15979.0,2313.0005,401.9491
1.0,1994.0,1.0,11996.0,6323.0,503335,1509607,0.0,0.1229931,1.87,18606,5.383333,16.4,26.206093,7.429225,8.192048,Alabama,7235.0,31284,16508.0,16508.0,16508.0,2383.3035,418.85074
1.0,1995.0,1.0,12715.0,6654.0,508686,1519243,0.0,1.155848,1.81,19441,5.225,20.1,26.356558,7.4919477,8.448148,Alabama,7793.0,33410,19262.0,19262.0,19262.0,2499.5774,437.9813
1.0,1996.0,2.0,13397.0,6940.0,511698,1526095,0.0,1.549224,1.86,20081,4.491667,14.0,26.443373,7.5468783,7.850196,Alabama,4966.0,37865,19927.0,19927.0,19927.0,2618.1458,454.75543
1.0,1997.0,1.0,13784.0,7070.0,517823,1535043,0.0,1.590946,1.81,20930,4.4416666,15.7,26.610456,7.5384593,4.3269873,Alabama,6356.0,38720,20412.0,20412.0,20412.0,2661.9133,460.57343
1.0,1998.0,2.0,14080.0,7062.0,522833,1544778,0.0,1.657981,1.85,22025,3.8833334,14.5,26.70941,7.493403,4.29087,Alabama,5221.0,40379,21800.0,21800.0,21800.0,2693.0205,457.15308
1.0,1999.0,2.0,15206.0,7788.0,526111,1550875,0.0,1.549075,1.87,22722,4.275,15.2,26.842972,7.3990645,3.6567686,Alabama,4875.0,40595,21800.0,21800.0,21800.0,2890.2646,502.16812
1.0,2000.0,1.0,14727.0,7358.0,535994,1544425,0.0,0.8435713,1.88,23764,4.0666666,13.3,26.936117,7.2434816,3.9308398,Alabama,5484.0,40178,,22806.0,22806.0,2747.6055,476.42328
2.0,1985.0,1.0,198.0,1238.0,11305,220999,0.0,-0.0097914,3.78,20321,9.658333,8.7,5.3355293,7.45748,1.3142258,Alaska,155.0,2606,1968.0,1968.0,1968.0,1751.4374,560.18353
2.0,1986.0,2.0,211.0,1313.0,11734,225494,0.0,1.481591,3.51,19807,11.025,11.4,5.3034697,7.40738,2.204468,Alaska,119.0,2885,2336.0,,,1798.1932,582.27716
2.0,1987.0,1.0,217.0,1348.0,11805,222399,0.0,1.612426,3.46,19357,10.166667,12.0,5.264394,7.298059,1.1123676,Alaska,435.0,2941,,2356.0,,1838.2041,606.11786
2.0,1988.0,2.0,271.0,1380.0,12026,222289,0.0,1.976441,3.32,19907,8.741667,11.0,5.230387,7.1556787,1.2913723,Alaska,489.0,2994,,2793.0,,2253.451,620.8134
2.0,1989.0,2.0,310.0,1420.0,12363,223555,0.0,1.154805,3.27,21628,6.9333334,10.5,5.1979246,6.95324,2.0103993,Alaska,533.0,3335,2596.0,,,2507.482,635.1904
2.0,1990.0,2.0,288.0,1390.0,12655,225383,0.0,-1.166012,3.33,22804,7.0583334,11.4,5.03644,6.837102,1.8073704,Alaska,568.0,3599,2808.0,,,2275.7803,616.72797
2.0,1991.0,1.0,314.0,1414.0,12748,232303,0.0,-0.3411266,3.11,23161,8.266666,11.8,4.953708,6.8573275,3.332205,Alaska,568.0,3744,2523.0,2602.0,,2463.1316,608.6878
2.0,1992.0,2.0,327.0,1377.0,13409,239839,0.0,-0.9158392,3.02,23786,8.95,10.2,5.1625433,6.959486,2.887542,Alaska,710.0,3014,2472.0,,,2438.6606,574.13513
2.0,1993.0,2.0,313.0,1325.0,14149,243292,0.0,-0.1204929,2.55,24538,7.6666665,9.1,5.461102,7.015141,4.504264,Alaska,685.0,3214,2523.0,2602.0,,2212.1704,544.61304
2.0,1994.0,1.0,415.0,1492.0,13258,244283,0.0,0.32895,3.03,25050,7.508333,10.2,5.342025,7.1295257,5.138337,Alaska,412.0,2899,3044.0,,,3130.1855,610.767
